steamid,playtime_forever,achievement_count,category_activity_pca_recalc,player_type
76561197994963383,955,6,-1.8704329356160292,0
76561198170269198,167,14,-0.5972219014895815,0
76561198097690532,220,0,-2.7426462184955027,0
76561197963282057,25790,36,3.187023925727469,1
76561198039822008,484,11,-0.9485617735271812,0
76561198000562069,6799,31,2.356153468188527,1
76561198084955985,364,0,-2.7426462184955027,0
76561198109871307,1463,11,-1.0889254413349334,0
76561198010028217,369,0,-2.7426462184955027,0
76561198140831121,617,0,-2.7426462184955027,0
76561198334489413,2938,43,4.472595531198561,1
76561198323009493,32889,43,4.472595531198561,1
76561198047794531,356,1,-2.544189369809561,0
76561198042619868,4928,40,3.983401276358851,1
76561197977296420,17455,43,4.472595531198561,1
76561198014788793,5705,22,0.8805162041852297,1
76561199032279097,2979,38,3.6470411800680536,1
76561198039452938,627,6,-1.8962568026193076,0
76561198832730470,624,12,-0.9870966352229846,0
76561198031220488,312,0,-2.7426462184955027,0
76561198030408706,8294,43,4.472595531198561,1
76561198011903621,651,11,-1.2632747024036055,0
76561197990986751,42,0,-2.7426462184955027,0
76561198003183913,10254,32,2.5996444398838143,1
76561198043488004,234,0,-2.7426462184955027,0
76561197981732215,2723,20,0.382322004703801,0
76561198013115338,1564,0,-2.7426462184955027,0
76561198008486113,266,1,-2.642764783870531,0
76561197984266556,5335,22,0.6651573468090877,1
76561198008266904,4275,27,1.6829317084745254,1
76561198036984413,81416,43,4.472595531198561,1
76561198108562053,20006,39,3.6728446778587953,1
76561198159216159,297,0,-2.7426462184955027,0
76561197970590608,334,0,-2.7426462184955027,0
76561197974925353,8053,34,2.872930202275921,1
76561198048426865,129,0,-2.7426462184955027,0
76561198058819470,272,13,-0.8010688583861659,0
76561197961780979,365,0,-2.7426462184955027,0
76561197964914532,14454,43,4.472595531198561,1
76561197996311925,42224,39,3.7515787540753793,1
76561198163638022,576,8,-1.1156450700802076,0
76561198035780173,455,0,-2.7426462184955027,0
76561198046743901,1160,15,-0.2143545281464761,0
76561197977072496,29873,43,4.472595531198561,1
76561197965075581,907,20,0.667433177998085,1
76561197975504766,1015,14,-0.6557062103691751,0
76561198062301135,417,0,-2.7426462184955027,0
76561197970259762,13654,43,4.472595531198561,1
76561198073661699,4224,43,4.472595531198561,1
76561199086020529,460,7,-1.8213870985573788,0
76561198044279579,230,0,-2.7426462184955027,0
76561197996624047,27792,34,2.8836937917099195,1
76561198000459192,60,0,-2.7426462184955027,0
76561197978037893,64404,43,4.472595531198561,1
76561198025781024,156,0,-2.7426462184955027,0
76561197976152793,35193,43,4.472595531198561,1
76561197985841875,194,0,-2.7426462184955027,0
76561198300270231,458,0,-2.7426462184955027,0
76561197974783215,14925,36,3.1607867852246883,1
76561197995378175,34689,38,3.633887603103776,1
76561198000413287,484,6,-1.5534614036369758,0
76561198003048979,9581,26,1.38616284318714,1
76561197976937799,18803,38,3.622892887797261,1
76561198031679484,6173,5,-2.1704874983129514,0
76561198126303619,576,1,-2.642764783870531,0
76561198025693599,621,0,-2.7426462184955027,0
76561198121716572,7429,40,3.855979695344592,1
76561198053973982,31297,43,4.472595531198561,1
76561198262860208,406,0,-2.7426462184955027,0
76561198310732641,574,0,-2.7426462184955027,0
76561198033206748,526,8,-1.5988519710264184,0
76561197978183612,1134,17,-0.1756876015560594,0
76561197991715731,1147,12,-0.8854989212120035,0
76561197987842222,1156,24,1.1323125268225285,1
76561198077387115,28326,38,3.607650462600996,1
76561198019078835,335,0,-2.7426462184955027,0
76561198074361885,596,11,-0.9727469570912204,0
76561198121398682,600,0,-2.7426462184955027,0
76561198123726975,33812,37,3.32333100460372,1
76561198103654672,150,0,-2.7426462184955027,0
76561198013412947,2551,21,0.7075662781556091,1
76561198010185470,7607,29,2.1396678901967534,1
76561198087323350,186,0,-2.7426462184955027,0
76561198041138024,35,5,-2.0829067995584976,0
76561198086439893,375,4,-2.3431204799956147,0
76561198144155929,5174,28,1.7618921090051514,1
76561197997788394,8712,43,4.472595531198561,1
76561198044565579,549,12,-0.91629245965227,0
76561198065707788,1971,43,4.472595531198561,1
76561198245563714,32,1,-2.642764783870531,0
76561198048689582,2090,4,-2.3431204799956147,0
76561198003772642,21724,39,3.7515787540753793,1
76561198013890689,285,0,-2.7426462184955027,0
76561197990384173,393,0,-2.7426462184955027,0
76561197988052802,1447,0,-2.7426462184955027,0
76561198170985497,122,8,-1.4685495668071578,0
76561198400589410,10610,43,4.472595531198561,1
76561198067347675,3672,43,4.472595531198561,1
76561198061110338,5419,25,1.3877376458281383,1
76561198043480817,2280,18,-0.0090796637429239,0
76561198299988956,294,7,-1.6670064154930997,0
76561198066718773,2301,20,0.4287366698138441,0
76561198024546321,435,0,-2.7426462184955027,0
76561197979042906,11484,35,2.9593076365887354,1
76561198354970828,771,0,-2.7426462184955027,0
76561198000257885,647,0,-2.7426462184955027,0
76561198193136631,160,0,-2.7426462184955027,0
76561198081257465,507,4,-2.244545065934645,0
76561198339208379,1260,25,1.4130280429722708,1
