steamid,playtime_forever,achievement_count,efficiency_score,combat_count,combat_skill_count,crafting_count,death_count,exploration_count,leveling_count,player_killer_count,survival_count,zombie_killer_count,category_activity_mean,category_activity_pca,abnormal_behavior_flag
76561199149568784,16140,43,0.0026641883519206,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561197960643486,479,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198025038660,3951,27,0.0068337129840546,3,2,4,2,3,4,1,5,3,5.4,9.31474764048502,0
76561198046621479,143,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197970812258,5189,43,0.0082867604548082,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198025223542,572,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198029262157,3564,43,0.0120650953984287,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198024038675,258,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197997788394,8712,43,0.0049357208448117,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198125238941,181,5,0.0276243093922651,0,0,1,0,4,0,0,0,0,1.0,-13.774608869821575,0
76561198136969425,158,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198078497262,6364,43,0.0067567567567567,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198274950775,866,43,0.0496535796766743,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198039417534,188,7,0.0372340425531914,0,0,5,0,2,0,0,0,0,1.4,-11.459123392778388,0
76561198041625770,2846,21,0.0073787772312016,2,0,5,3,2,3,0,3,3,4.2,3.11981275082627,0
76561198028922089,2803,43,0.0153407063860149,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198118069340,2016,43,0.021329365079365,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561197967055456,9576,40,0.0041771094402673,3,4,7,4,5,5,4,4,4,8.0,23.05539798424879,0
76561198004859223,419,2,0.0047732696897374,1,0,1,0,0,0,0,0,0,0.4,-17.077459779183524,0
76561198002555892,611,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197979911851,387,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198878464160,311,43,0.1382636655948553,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198101049562,604,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198073789253,246,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198162235689,688,43,0.0625,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198087088306,7904,29,0.0036690283400809,2,2,7,4,4,3,0,3,4,5.8,11.65368013603047,0
76561198333940820,416,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197991361144,914,14,0.0153172866520787,1,0,6,2,2,1,1,0,1,2.8,-4.1500408191777645,0
76561198098080821,1944,21,0.0108024691358024,1,4,5,1,2,2,0,3,3,4.2,3.1245586725235093,0
76561198043898087,522,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197972542742,159,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198039198161,7408,43,0.005804535637149,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198121398682,600,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198030273896,2635,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198027904347,3928,19,0.0048370672097759,0,4,6,1,3,3,0,0,2,3.8,1.1694148180968646,0
76561198016344025,742,13,0.0175202156334231,1,0,5,1,1,2,0,2,1,2.6,-5.2251630431633185,0
76561198043720348,8449,40,0.0047342880814297,3,4,8,4,5,4,4,4,4,8.0,23.11251004102702,0
76561198095241695,381,8,0.0209973753280839,0,0,5,0,0,1,0,1,1,1.6,-10.462310211202904,0
76561199182283731,1209,43,0.0355665839536807,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198007802153,579,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197985000161,423,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198020051378,455,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198061023307,7343,43,0.0058559172000544,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561197985269540,167,6,0.0359281437125748,0,0,5,1,0,0,0,0,0,1.2,-12.581880253586752,0
76561198015904504,421,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198097498028,253,43,0.1699604743083003,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198025257831,485,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197991991520,502,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198137376448,400,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198280830500,319,13,0.0407523510971786,2,0,5,1,1,1,0,1,2,2.6,-5.294241647342375,0
76561197980206308,611,4,0.0065466448445171,2,0,1,1,0,0,0,0,0,0.8,-15.034326849345677,0
76561198046242117,312,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198058781656,1335,21,0.0157303370786516,3,0,7,3,2,2,0,2,2,4.2,3.2122617484145195,0
76561198056047449,12517,29,0.002316849085244,2,1,8,3,5,3,0,4,3,5.8,11.798599616385092,0
76561198045737785,532,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198438963871,4543,25,0.0055029716046665,2,1,6,4,3,4,0,2,3,5.0,7.390658103102741,0
76561197979084213,551,4,0.0072595281306715,0,0,3,1,0,0,0,0,0,0.8,-14.817746442109708,0
