steamid,playtime_forever,achievement_count,efficiency_score,efficiency_per_10h,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,max_survive_minutes_intensity,max_items_crafted_intensity,max_zombies_killed_intensity,max_players_killed_intensity,max_fortitude_skill_intensity,max_travel_distance_intensity,max_death_count_intensity,max_character_level_intensity,max_survive_minutes_intensity_norm,max_items_crafted_intensity_norm,max_zombies_killed_intensity_norm,max_players_killed_intensity_norm,max_fortitude_skill_intensity_norm,max_travel_distance_intensity_norm,max_death_count_intensity_norm,max_character_level_intensity_norm,combat_count,combat_percent,combat_skill_count,combat_skill_percent,crafting_count,crafting_percent,death_count,death_percent,exploration_count,exploration_percent,leveling_count,leveling_percent,player_killer_count,player_killer_percent,survival_count,survival_percent,zombie_killer_count,zombie_killer_percent
76561198112795258,1186,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76561197970307937,546,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76561198064860636,2915,22,0.007547169811320755,4.528301886792453,1680,5000,500,0,4,50,0,140,5,5,4,1,2,3,1,5,1.0,1.0,0.75,0.0,0.25,0.5,0.0,0.8,0,0.0,1,0.045454545454545456,8,0.36363636363636365,0,0.0,2,0.09090909090909091,4,0.18181818181818182,0,0.0,4,0.18181818181818182,3,0.13636363636363635
76561198058577517,6846,26,0.0037978381536663743,2.2787028921998247,60,1500,500,1,4,50,28,70,2,4,4,2,2,3,5,4,0.25,0.75,0.75,0.25,0.25,0.5,1.0,0.6,3,0.11538461538461539,1,0.038461538461538464,7,0.2692307692307692,4,0.15384615384615385,3,0.11538461538461539,3,0.11538461538461539,1,0.038461538461538464,1,0.038461538461538464,3,0.11538461538461539
76561198050033018,481,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76561198103969643,336,43,0.12797619047619047,76.78571428571428,1680,5000,2500,25,10,1000,28,300,5,5,5,5,5,5,5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.06976744186046512,4,0.09302325581395349,8,0.18604651162790697,4,0.09302325581395349,6,0.13953488372093023,5,0.11627906976744186,4,0.09302325581395349,5,0.11627906976744186,4,0.09302325581395349
76561198063836659,826,16,0.01937046004842615,11.62227602905569,180,50,100,0,0,50,14,7,3,2,3,1,1,3,4,2,0.5,0.25,0.5,0.0,0.0,0.5,0.75,0.2,1,0.0625,0,0.0,5,0.3125,3,0.1875,2,0.125,1,0.0625,0,0.0,2,0.125,2,0.125
76561197977887760,3896,28,0.007186858316221766,4.312114989733059,180,1500,500,0,10,250,28,28,3,4,4,1,5,4,5,3,0.5,0.75,0.75,0.0,1.0,0.75,1.0,0.4,2,0.07142857142857142,4,0.14285714285714285,7,0.25,4,0.14285714285714285,4,0.14285714285714285,2,0.07142857142857142,0,0.0,2,0.07142857142857142,3,0.10714285714285714
76561197991952155,15113,31,0.0020512141864619865,1.2307285118771918,180,5000,2500,0,6,250,28,300,3,5,5,1,3,4,5,6,0.5,1.0,1.0,0.0,0.5,0.75,1.0,1.0,2,0.06451612903225806,2,0.06451612903225806,8,0.25806451612903225,4,0.12903225806451613,4,0.12903225806451613,5,0.16129032258064516,0,0.0,2,0.06451612903225806,4,0.12903225806451613
76561197994553754,340,10,0.029411764705882353,17.647058823529413,60,50,10,0,0,10,7,7,2,2,2,1,1,2,3,2,0.25,0.25,0.25,0.0,0.0,0.25,0.5,0.2,0,0.0,0,0.0,4,0.4,2,0.2,1,0.1,1,0.1,0,0.0,1,0.1,1,0.1
