steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,playtime_hours,achievement_ratio,efficiency,stage1_speed_kmeans,stage1_speed_gmm
76561198048285800,254,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,4.233333333333333,1.0,0.23622047238514476,Effective,Effective
76561198032591844,888,7,4,0.5,1,0.0666666666666666,0,0.0,1,0.25,1,0.2,0,0.0,0,50,10,0,0,0,1,7,14.8,0.16279069767441862,0.010999371463744544,Normal,Normal
76561198843434426,1032,16,5,0.625,4,0.2666666666666666,2,0.3333333333333333,3,0.75,1,0.2,1,0.2,60,50,100,0,0,50,14,7,17.2,0.37209302325581395,0.02163331530431283,Normal,Normal
76561197976602082,6935,26,7,0.875,6,0.4,3,0.5,3,0.75,4,0.8,3,0.6,600,1500,2500,1,0,250,14,140,115.58333333333333,0.6046511627906976,0.005231300615303242,Slow,Normal
76561198352272979,3365,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,56.083333333333336,1.0,0.017830609212163496,Slow,Normal
76561197971204006,588,4,3,0.375,1,0.0666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,9.8,0.09302325581395349,0.009492168959638909,Normal,Normal
76561198004006226,517,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,8.616666666666667,0.0,0.0,Normal,Slow
76561198994062628,2430,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,40.5,1.0,0.0246913580240817,Slow,Normal
76561198060410834,2671,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,44.516666666666666,0.0,0.0,Normal,Slow
76561198407772607,183,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,3.05,1.0,0.3250925435220176,Effective,Effective
76561198034096440,5330,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,88.83333333333333,1.0,0.011257035647152828,Slow,Normal
76561198041298094,744,18,5,0.625,8,0.5333333333333333,1,0.1666666666666666,2,0.5,1,0.2,1,0.2,60,50,100,0,10,10,7,7,12.4,0.4186046511627907,0.03375843960718002,Normal,Effective
76561198207088253,222,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,3.7,0.0,0.0,Normal,Slow
76561198043828654,438,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,7.3,0.0,0.0,Normal,Slow
76561197997112174,255,3,1,0.125,1,0.0666666666666666,0,0.0,1,0.25,0,0.0,0,0.0,0,0,10,0,0,0,1,0,4.25,0.06976744186046512,0.01641586866918806,Normal,Normal
76561198368799839,456,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,7.6,0.0,0.0,Normal,Slow
76561198995500311,1152,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,19.2,1.0,0.05208333333062066,Slow,Effective
76561198007609033,535,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,8.916666666666666,0.0,0.0,Normal,Slow
76561198102700771,13381,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,223.01666666666668,1.0,0.00448396980791652,Slow,Normal
76561198023116710,6159,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,102.65,1.0,0.009741841207893405,Slow,Normal
76561198062505918,4190,7,5,0.625,1,0.0666666666666666,0,0.0,1,0.25,0,0.0,0,0.0,0,50,10,0,0,0,1,0,69.83333333333333,0.16279069767441862,0.002331131708908174,Normal,Normal
76561197990233857,505,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,8.416666666666666,0.0,0.0,Normal,Slow
76561199141671103,399,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,6.65,1.0,0.15037593982701114,Effective,Effective
76561198059307202,27552,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,459.2,1.0,0.0021777003484273133,Slow,Normal
76561197998096051,4598,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,76.63333333333334,1.0,0.013049151804962385,Slow,Normal
76561198058416969,6412,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,106.86666666666666,1.0,0.009357454772214372,Slow,Normal
76561199208306587,649,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,10.816666666666666,1.0,0.09244992294985055,Slow,Effective
76561198074783710,5905,41,8,1.0,14,0.9333333333333332,5,0.8333333333333334,4,1.0,5,1.0,5,1.0,1680,5000,500,25,10,250,28,300,98.41666666666667,0.9534883720930233,0.009688281511431007,Slow,Normal
76561198049840570,12744,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,212.4,1.0,0.004708097928414746,Slow,Normal
76561198133918114,2723,20,5,0.625,4,0.2666666666666666,2,0.3333333333333333,4,1.0,4,0.8,1,0.2,60,50,100,0,4,50,28,140,45.38333333333333,0.46511627906976744,0.010248614301715435,Normal,Normal
76561197982946417,262,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,4.366666666666666,0.0,0.0,Normal,Slow
