steamid,playtime_forever,achievement_count,crafting_count,combat_count,exploration_count,death_count,leveling_count,survival_count,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,log_playtime,ach_per_10h,crafting_count_rank,combat_count_rank,exploration_count_rank,leveling_count_rank,survival_count_rank,max_death_count_rank,max_survive_minutes_ord,max_items_crafted_ord,max_zombies_killed_ord,max_players_killed_ord,max_fortitude_skill_ord,max_travel_distance_ord,max_death_count_ord,max_character_level_ord,max_death_count_rank_ord,Cluster
76561198197031430,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.537334267018537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198025618418,9321,37,8,11,6,4,4,4,1680,5000,2500,0,10,1000,28,140,9.140132476932687,2.3817185463972614,1.0,0.7333333333333333,1.0,0.8,0.8,1.0,1,1,1,0,1,1,1,0,1,1
76561198047414009,3730,33,8,10,5,4,3,3,600,5000,500,0,10,250,28,70,8.224431573221159,5.308310138073436,1.0,0.6666666666666666,0.8333333333333334,0.6,0.6,1.0,0,1,0,0,1,0,1,0,1,1
76561198344068866,2555,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,7.846198815497425,10.097844986807438,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198081999502,22734,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,10.031660866259111,1.1348640502807061,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198153525620,10724,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,9.280332743796217,2.4058185897527826,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198275649621,3225,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,8.078998258685154,7.999998511628184,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561197990481530,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8916442118257715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198217979953,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8522024797744745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198041885150,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.897839799950911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198128578271,386,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,5.958424693029782,66.83927434309687,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561197962838085,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6635616461296463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198081008157,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.968707559985366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561197989446733,47560,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,10.769768376656003,0.5424726592623298,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198057078777,8138,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,9.004422601327041,3.1703118822576646,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561197967540452,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.307202314764738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198083142373,716,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57507584059962,2.5139643737728714,0.375,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198024926277,140,6,4,2,0,0,0,0,0,50,10,0,0,0,0,0,4.948759890378168,25.714175510676384,0.5,0.13333333333333333,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198159216159,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.697093486505405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198054004608,2110,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,7.65491704784832,12.227484674648908,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561197997946137,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0867747269123065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198079772364,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.867534450455582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561197993579927,5231,32,7,10,3,4,4,4,1680,1500,2500,0,10,250,28,140,8.562548893137034,3.6704258837209847,0.875,0.6666666666666666,0.5,0.8,0.8,1.0,1,0,1,0,1,0,1,0,1,1
76561198339323993,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.375278407684165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198023327915,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.176149732573829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198080349814,489358,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,13.10085165042899,0.052722137920227556,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198001873585,309,2,0,2,0,0,0,0,0,0,10,0,0,0,0,0,5.736572297479192,3.883487604878437,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198971959226,800,13,5,3,1,2,1,1,60,50,10,0,0,10,7,7,6.68586094706836,9.749992687505486,0.625,0.2,0.16666666666666666,0.2,0.2,0.25,0,0,0,0,0,0,0,0,0,0
76561198058291396,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.327936783729195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561199257765441,1395,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,7.241366283322318,18.494615701240555,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198042773556,21093,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,9.95674391883656,1.2231545662592926,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198187410553,2200,23,7,4,2,4,4,2,180,1500,500,0,0,50,28,140,7.696667081526462,6.272725561983938,0.875,0.26666666666666666,0.3333333333333333,0.8,0.4,1.0,0,0,0,0,0,0,1,0,1,0
76561198000413287,484,6,1,2,1,2,0,0,0,0,0,0,0,10,7,0,6.184148890937483,7.438007308255403,0.125,0.13333333333333333,0.16666666666666666,0.0,0.0,0.25,0,0,0,0,0,0,0,0,0,0
76561198048285800,254,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,5.541263545158426,101.57456320969321,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198032591844,888,7,4,1,0,1,1,0,0,50,10,0,0,0,1,7,6.790097235513905,4.729726533968559,0.5,0.06666666666666667,0.0,0.2,0.0,0.03571428571428571,0,0,0,0,0,0,0,0,0,0
76561198843434426,1032,16,5,4,2,3,1,1,60,50,100,0,0,50,14,7,6.940222469119639,9.302320173069667,0.625,0.26666666666666666,0.3333333333333333,0.2,0.2,0.5,0,0,0,0,0,0,0,0,0,0
76561197976602082,6935,26,7,6,3,3,4,3,600,1500,2500,1,0,250,14,140,8.844480518460378,2.2494590699819117,0.875,0.4,0.5,0.8,0.6,0.5,0,0,1,0,0,0,0,0,0,0
76561198352272979,3365,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,8.121480374750751,7.66716059426557,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561197971204006,588,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3784261836515865,4.0816284881341955,0.375,0.06666666666666667,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198004006226,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.249975242259483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198994062628,2430,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,7.796057974316123,10.617281329066339,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198060410834,2671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.890582534656536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198407772607,183,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,5.214935757608986,140.98314431755963,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198034096440,5330,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,8.581294116822761,4.840524783430607,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198041298094,744,18,5,8,1,2,1,1,60,50,100,0,10,10,7,7,6.61338421837956,14.516117325711836,0.625,0.5333333333333333,0.16666666666666666,0.2,0.2,0.25,0,0,0,0,1,0,0,0,0,0
76561198207088253,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.407171771460119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198043828654,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0844994130751715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561197997112174,255,3,1,1,0,1,0,0,0,0,10,0,0,0,1,0,5.545177444479562,7.058806920454305,0.125,0.06666666666666667,0.0,0.0,0.0,0.03571428571428571,0,0,0,0,0,0,0,0,0,0
76561198368799839,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.124683390894205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198995500311,1152,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,7.050122520269059,22.39582166884288,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198007609033,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.284134161070802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198102700771,13381,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,9.501665799342762,1.9281069309570167,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198023116710,6159,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,8.725832056527565,4.188991311350091,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
