,steamid,earliest_unlock,latest_unlock,total_achievements,duration_days,duration_hours,playtime_forever,achievement_efficiency
225,76561198025037510,2020-07-14 13:09:04+00:00,2024-08-22 18:23:39+00:00,14,1500.218460648148,36005.243055555555,8.016666666666667,1.7463617463617462
226,76561198025038660,2019-12-27 10:42:22+00:00,2024-07-27 08:27:15+00:00,27,1673.9061689814814,40173.74805555555,65.85,0.4100227790432802
227,76561198025146852,2018-02-17 09:22:51+00:00,2025-04-19 09:26:21+00:00,5,2618.0024305555557,62832.058333333334,2.566666666666667,1.9480519480519478
228,76561198025391492,2017-04-13 11:21:16+00:00,2024-08-07 00:00:10+00:00,16,2672.527013888889,64140.64833333333,12.35,1.2955465587044535
229,76561198025618418,2023-03-16 20:29:41+00:00,2025-02-28 22:29:00+00:00,37,715.0828587962963,17161.988611111112,155.35,0.23817186997103315
230,76561198025670883,2022-05-28 09:32:46+00:00,2022-07-29 14:12:11+00:00,18,62.19403935185185,1492.6569444444444,19.316666666666666,0.9318377911993098
231,76561198025859378,2024-01-26 17:24:59+00:00,2024-01-29 07:54:49+00:00,43,2.604050925925926,62.49722222222222,49.55,0.8678102926337034
232,76561198026221093,2017-12-08 17:48:48+00:00,2022-06-10 22:21:51+00:00,42,1645.1896180555555,39484.550833333335,462.51666666666665,0.09080753846708227
233,76561198026465332,2024-03-20 18:47:01+00:00,2024-03-27 19:47:02+00:00,23,7.04167824074074,169.00027777777777,48.0,0.4791666666666667
234,76561198026716698,2024-02-29 08:29:13+00:00,2024-02-29 08:49:00+00:00,5,0.013738425925925926,0.32972222222222225,5.733333333333333,0.872093023255814
235,76561198026840458,2023-03-05 14:56:20+00:00,2024-08-04 12:43:36+00:00,19,517.907824074074,12429.787777777778,24.216666666666665,0.7845836200963524
236,76561198026912448,2020-05-21 13:15:04+00:00,2020-05-22 21:16:19+00:00,3,1.3342013888888888,32.020833333333336,20.016666666666666,0.1498751040799334
237,76561198027112798,2025-07-28 10:02:54+00:00,2025-07-28 10:21:23+00:00,3,0.012835648148148148,0.3080555555555556,1.6,1.875
238,76561198027214426,2017-06-26 18:08:35+00:00,2018-01-06 18:15:31+00:00,43,194.0048148148148,4656.115555555555,960.8666666666667,0.04475126621799764
239,76561198027740459,2016-11-21 12:23:29+00:00,2019-12-31 04:22:43+00:00,27,1134.6661342592593,27231.987222222222,81.65,0.3306797305572566
240,76561198027904347,2016-11-06 08:13:57+00:00,2016-11-23 08:39:57+00:00,19,17.018055555555556,408.43333333333334,65.46666666666667,0.29022403258655805
241,76561198028056626,2022-08-21 04:33:35+00:00,2022-08-21 04:37:41+00:00,4,0.0028472222222222223,0.06833333333333333,19.166666666666668,0.20869565217391303
242,76561198028385225,2019-03-28 06:14:57+00:00,2020-04-11 03:25:19+00:00,43,379.8821990740741,9117.172777777778,254.98333333333332,0.16863847310281718
243,76561198028421529,2021-11-26 06:20:46+00:00,2021-11-26 06:20:46+00:00,1,0.0,0.0,57.13333333333333,0.01750291715285881
244,76561198028528793,2017-09-27 07:01:12+00:00,2024-05-13 14:15:37+00:00,35,2420.301678240741,58087.240277777775,167.43333333333334,0.20903842325303604
245,76561198028706134,2025-03-23 22:16:21+00:00,2025-05-17 16:07:11+00:00,43,54.74363425925926,1313.8472222222222,352.53333333333336,0.12197428139183054
246,76561198028922089,2022-05-15 21:15:12+00:00,2022-06-28 20:33:55+00:00,43,43.97133101851852,1055.3119444444444,46.71666666666667,0.920442383160899
247,76561198029023990,2020-02-23 06:43:19+00:00,2025-01-03 06:13:26+00:00,41,1775.979247685185,42623.50194444445,196.23333333333332,0.20893494139629695
248,76561198029262157,2016-11-23 03:41:42+00:00,2018-04-30 22:32:10+00:00,43,523.7850462962963,12570.84111111111,59.4,0.7239057239057239
249,76561198029314576,2021-08-09 06:38:55+00:00,2021-08-09 07:06:54+00:00,5,0.01943287037037037,0.4663888888888889,5.2,0.9615384615384615
250,76561198029374030,2020-01-26 08:19:23+00:00,2020-01-26 08:58:02+00:00,5,0.02684027777777778,0.6441666666666667,1.8166666666666667,2.7522935779816513
251,76561198029800969,2020-09-09 14:26:42+00:00,2024-07-25 11:46:34+00:00,6,1414.8887962962963,33957.33111111111,8.216666666666667,0.7302231237322515
252,76561198029925667,2017-10-26 14:39:42+00:00,2024-06-06 02:46:58+00:00,17,2414.5050462962963,57948.12111111111,25.25,0.6732673267326733
253,76561198030118274,2016-10-14 03:27:54+00:00,2024-02-21 22:46:54+00:00,40,2686.804861111111,64483.316666666666,179.61666666666667,0.22269648325136865
254,76561198030277114,2023-07-22 18:22:55+00:00,2024-11-18 21:00:40+00:00,11,485.1095486111111,11642.629166666668,7.15,1.5384615384615383
255,76561198030408706,2019-05-28 06:08:11+00:00,2024-07-03 12:25:54+00:00,43,1863.2623032407407,44718.295277777775,138.23333333333332,0.3110682421027249
256,76561198030516476,2017-05-06 08:11:13+00:00,2024-06-10 09:28:08+00:00,27,2592.0534143518516,62209.28194444445,567.6,0.04756871035940803
257,76561198030808810,2021-04-16 14:01:03+00:00,2023-02-27 12:30:13+00:00,30,681.9369212962963,16366.486111111111,140.23333333333332,0.2139291656762539
258,76561198030926535,2019-05-19 10:33:07+00:00,2022-04-26 08:44:26+00:00,39,1072.924525462963,25750.188611111113,183.41666666666666,0.2126306224443435
259,76561198031679484,2024-06-07 06:32:30+00:00,2024-06-25 09:17:24+00:00,5,18.11451388888889,434.74833333333333,102.88333333333334,0.04859873643285274
260,76561198031919117,2024-04-24 10:51:34+00:00,2024-04-24 11:52:36+00:00,6,0.04238425925925926,1.0172222222222222,7.5,0.8
261,76561198032542725,2016-09-16 18:05:31+00:00,2017-07-04 04:56:44+00:00,43,290.4522337962963,6970.853611111111,2664.4333333333334,0.016138516007155993
262,76561198032591844,2018-04-12 09:27:11+00:00,2024-07-30 19:44:36+00:00,7,2301.428761574074,55234.29027777778,14.8,0.47297297297297297
263,76561198033103032,2017-06-24 18:09:27+00:00,2024-08-12 19:11:00+00:00,28,2606.0427430555555,62545.02583333333,154.41666666666666,0.18132757690232057
264,76561198033263509,2016-12-08 08:02:17+00:00,2024-04-02 02:28:39+00:00,43,2671.7683101851853,64122.43944444445,69.73333333333333,0.6166347992351816
265,76561198033338283,2018-12-20 16:02:48+00:00,2018-12-30 12:49:06+00:00,43,9.86548611111111,236.77166666666668,64.91666666666667,0.662387676508344
266,76561198034096440,2022-03-19 12:58:11+00:00,2022-06-06 11:52:10+00:00,43,78.95415509259259,1894.8997222222222,88.83333333333333,0.4840525328330207
267,76561198034385973,2017-03-02 13:58:08+00:00,2023-05-07 04:18:26+00:00,7,2256.5974305555555,54158.33833333333,3.566666666666667,1.9626168224299065
268,76561198034536984,2019-07-06 19:51:18+00:00,2024-06-08 12:17:30+00:00,25,1798.684861111111,43168.43666666667,33.61666666666667,0.7436787307882995
269,76561198034574711,2017-11-24 21:41:39+00:00,2024-03-22 15:35:43+00:00,18,2309.7458796296296,55433.90111111111,34.88333333333333,0.5160057333970377
270,76561198035188248,2018-11-07 00:00:49+00:00,2023-07-27 09:40:17+00:00,33,1723.4024074074075,41361.65777777778,116.93333333333334,0.282212086659065
271,76561198035201897,2017-03-05 06:19:54+00:00,2018-01-13 08:28:57+00:00,12,314.08961805555555,7538.150833333333,8.583333333333334,1.3980582524271843
